CouncilArea,Access to Public Transport Ratio
Aberdeen City,56
Aberdeenshire,45
Angus,51
Argyll and Bute,60
City of Edinburgh,86
Clackmannanshire,49
Dumfries and Galloway,40
Dundee City,59
East Ayrshire,59
East Dunbartonshire,68
East Lothian,84
East Renfrewshire,67
Falkirk,69
Fife,70
Glasgow City,48
Highland,69
Inverclyde,71
Midlothian,50
Moray,63
Na h-Eileanan Siar,50
North Ayrshire,62
North Lanarkshire,61
Orkney Islands,71
Perth and Kinross,66
Renfrewshire,66
Scottish Borders,44
Shetland Islands,68
South Ayrshire,43
South Lanarkshire,67
Stirling,62
West Dunbartonshire,77
West Lothian,46
