CouncilArea,Business Survival Ratio
Aberdeen City,90.12
Aberdeenshire,92.74
Angus,95.52
Argyll and Bute,96.61
City of Edinburgh,93.92
Clackmannanshire,92
Dumfries and Galloway,96
Dundee City,92.05
East Ayrshire,94.67
East Dunbartonshire,93.75
East Lothian,93.75
East Renfrewshire,92.65
Falkirk,92.22
Fife,92.73
Glasgow City,94.76
Highland,95.12
Inverclyde,96.88
Midlothian,94.74
Moray,91.11
Na h-Eileanan Siar,100
North Ayrshire,95.65
North Lanarkshire,93.16
Orkney Islands,90
Perth and Kinross,94.34
Renfrewshire,94.53
Scottish Borders,96
Shetland Islands,100
South Ayrshire,91.67
South Lanarkshire,93.16
Stirling,91.3
West Dunbartonshire,97.78
West Lothian,92.59
