CouncilArea,Household Without Access to a Car Ratio
West Dunbartonshire,36
West Lothian,24
Clackmannanshire,17
Dumfries and Galloway,17
East Ayrshire,32
East Lothian,17
East Renfrewshire,15
Na h-Eileanan Siar,16
Falkirk,20
Highland,18
Inverclyde,38
Midlothian,15
Moray,18
North Ayrshire,32
Orkney Islands,14
Scottish Borders,15
Shetland Islands,14
South Ayrshire,16
South Lanarkshire,21
Stirling,23
Aberdeen City,27
Aberdeenshire,12
Argyll and Bute,21
City of Edinburgh,37
Renfrewshire,32
Angus,21
Dundee City,35
East Dunbartonshire,11
Fife,21
Perth and Kinross,21
Glasgow City,44
North Lanarkshire,29
