CouncilArea,Economic Activity Percentage of Population
Aberdeen City,30.9
Aberdeenshire,36.2
Angus,43.8
Argyll and Bute,47
City of Edinburgh,33.4
Clackmannanshire,46.1
Dumfries and Galloway,45.7
Dundee City,36.9
East Ayrshire,41.3
East Dunbartonshire,43.9
East Lothian,38
East Renfrewshire,42.4
Falkirk,40.3
Fife,40.5
Glasgow City,36.3
Highland,45.4
Inverclyde,42.5
Midlothian,38.3
Moray,41
Na h-Eileanan Siar,42.4
North Ayrshire,50.1
North Lanarkshire,42.1
Orkney Islands,44.4
Perth and Kinross,41.5
Renfrewshire,40.1
Scottish Borders,46.5
Shetland Islands,40.9
South Ayrshire,47.2
South Lanarkshire,34.1
Stirling,38.1
West Dunbartonshire,44.3
West Lothian,40.4
