CouncilArea,Housing Quality Percentage of Passed Dwellings
Clackmannanshire,50
Dumfries and Galloway,59
East Ayrshire,41
East Lothian,60
Falkirk,32
East Renfrewshire,45
Na h-Eileanan Siar,40
Highland,33
Inverclyde,25
Midlothian,48
Moray,50
North Ayrshire,41
Orkney Islands,63
Scottish Borders,50
Shetland Islands,24
South Ayrshire,50
South Lanarkshire,50
Stirling,50
Aberdeen City,50
Aberdeenshire,50
Argyll and Bute,39
City of Edinburgh,45
Renfrewshire,22
West Dunbartonshire,42
West Lothian,38
Angus,45
Dundee City,54
East Dunbartonshire,30
Fife,39
Perth and Kinross,55
North Lanarkshire,44
Glasgow City,48
